,author_id,created_at,id,public_metrics,referenced_tweets,text
49,1284506153037246465,2022-09-16 15:37:46+00:00,1570799110206423040,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",[<ReferencedTweet id=1570772104840380420 type=replied_to],@BluRadioCo @petrogustavo La Papa se le atoro en la garganta 😂😂
50,225592769,2022-09-16 15:37:33+00:00,1570799053809778691,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570738380501323778 type=quoted],"800 mil pesos, casi un salario mínimo de extorsión orquestada para que nos dejen vivir en paz. Enserio? @petrogustavo https://t.co/taJnfwAmAZ"
51,981035192,2022-09-16 15:37:28+00:00,1570799035359068162,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570798076079800322 type=replied_to],@CarlosMolinaCer @RoyBarreras @ClaudiaLopez @petrogustavo Pero yo creería que a Roy no le alcanza para ser presidente. Pero bueno amanecerá y veremos.
52,295810339,2022-09-16 15:37:26+00:00,1570799026542608387,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570798551885828102 type=replied_to],"@kid_pambele89 @FRuddR @SRiverosT @petrogustavo por que no sube su cedula ? hagale, a ver si no estara por ahi  otro bot, y le saca un cupo en flamingo JAJAJAJAJA."
53,1264686021016461313,2022-09-16 15:37:12+00:00,1570798968212451328,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,@EConsulteam @ColSernac @mindefensa @petrogustavo a nosotros nos quieren abrochar ustedes y a ellos la vacuna? https://t.co/k1SY1Ou5DD
54,1264686021016461313,2022-09-16 15:37:12+00:00,1570798967902048259,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,@EConsulteam @ColSernac @petrogustavo https://t.co/SX4N97X6b8
55,476310895,2022-09-16 15:37:07+00:00,1570798946112671749,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570411972033748992 type=replied_to],@RCNBga @petrogustavo Jajajajajajajaajaja
56,4182717016,2022-09-16 15:36:55+00:00,1570798894262657028,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"En el juramento que le tomaron a @petrogustavo al asumir, hay un grave error de quien los redacta en español arcaico:  El verbo es JURAR, en presente de indicativo es YO JURO, NOSOTROS JURAMOS, VOSOTROS JURÁIS.  Debieron escribir JURA USTED...! y no JURAIS CUMPLIR, que es plural."
57,1322161871332528128,2022-09-16 15:36:53+00:00,1570798886406746112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570797376205639685 type=replied_to],"@MrMireaux @DenisGajcew @partiarazem @petrogustavo Cywilizowany człowiek rozumie w jakiej sytuacji znajduje się nasza planeta i robi wszystko żeby jej pomóc. Twoje podejście jest bardzo niecywilizowane, ale to nie jest też twoja wina. Przez lata wpajano nam, że samochód to coś super fajnego i daje wolność, co jest nieprawdą."
58,18579132,2022-09-16 15:36:48+00:00,1570798864969637888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570053477014937604 type=replied_to],"@Patricia196503 @RafaNietoLoaiza @IreneVelezT @petrogustavo No lo dude, es parte de la partidura del gobierno petrista."
59,295810339,2022-09-16 15:36:45+00:00,1570798852600627204,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570798551885828102 type=replied_to],"@kid_pambele89 @FRuddR @SRiverosT @petrogustavo Nadie le esta preguntando su nombre, ahorrese las mb de internet escribiendo esa basura que nadie pidio."
60,864457919995293696,2022-09-16 15:36:44+00:00,1570798851392671749,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570564671031382018 type=replied_to],"@RHpresidente @petrogustavo No son petristas, no se haga el weón, que esos son de su equipo y de la oficina de envigado generando caos para desacreditar al actual gobierno."
61,724916616,2022-09-16 15:36:42+00:00,1570798841481555973,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",[<ReferencedTweet id=1570738380501323778 type=quoted],"Venga @petrogustavo y para los jóvenes como mi hermana que están haciendo las cosas bien, estudiando, trabajando y tratando de no morir en el intento de salir adelante en este país de mierda, que hay? más impuestos? https://t.co/QpkIBTlRji"
62,780244305898246144,2022-09-16 15:36:34+00:00,1570798807918718976,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",[<ReferencedTweet id=1570797473278590981 type=replied_to],@NotiSincelejo @MinAgricultura @CeciliaLopezM #PactoPorLaMojana Agradécemos las gestiones de @GobSucre @hectorolimpo y la atención prioritaria que le está dando el gobierno de @petrogustavo @ContactoDapre @MauricioLizcano la emergencia que vivimos
63,964679054623412224,2022-09-16 15:36:27+00:00,1570798777677803523,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570758420248272897 type=replied_to],@petrogustavo el payasito narco guerrillerito
64,1070123062379597824,2022-09-16 15:36:17+00:00,1570798735151759362,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570798390564507649 type=replied_to],"@federicoalves @petrogustavo @monomerossa Ya las estrellitas q había puesto guardo la quebraron, debería expropiada y quedárselo colombia. Los msduristas terminaran de raspar la olla"
65,1317054480,2022-09-16 15:36:16+00:00,1570798732513517570,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570795394707394561 type=replied_to],@PompilioChayan @Sir_Mafer @petrogustavo Refineria ilegal. 🤷
