,author_id,created_at,id,public_metrics,referenced_tweets,text
24,885619555128791040,2022-09-16 15:39:40+00:00,1570799589493714945,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570776900339142657 type=replied_to],"@diegocuentos @petrogustavo @GustavoBolivar @Wilson_Suaza_ @don_jijuemadre @renealejomonsa Hecho amigo,

Cambiemos este país para bien, buscar el bienestar común y un estado social de derecho como lo indica la Constitución.

Nos unimos o nos hundimos.

#petristasiguepetrista #ProgresistaSigueProgresista #RedProgresista #SiguemeYTeSigoDeVuelta #YoApoyoLaReformaDePetro"
25,220029882,2022-09-16 15:39:38+00:00,1570799580186550274,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570488621324374016 type=replied_to],"@wilsonariasc @petrogustavo Wilson quiebra empresas, sanguijuelas del capital ajeno. Entendemos todo lo contrario, Se Expropiaron las pensiones. El comunismo es miseria, ruina,hambre."
26,159658481,2022-09-16 15:39:34+00:00,1570799561404452867,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570556022607183873 type=replied_to],@PizarroMariaJo @petrogustavo @ComisionadoPaz @MinInterior @alfonsoprada @ernestosamperp Dime de quien te rodeas ......
27,1026321214246187008,2022-09-16 15:39:31+00:00,1570799551573032960,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570738380501323778 type=quoted],@petrogustavo yo soy delincuente https://t.co/zdhBHJj05s
28,1354772090847682560,2022-09-16 15:39:30+00:00,1570799544480460805,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570466000486776835 type=replied_to],@MinEnergiaCo @IreneVelezT @infopresidencia @petrogustavo @Acolgen @EnelColombia @MinInterior @alfonsoprada https://t.co/UFOepUam1b
29,1084612507,2022-09-16 15:39:14+00:00,1570799480701882372,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570765652402794502 type=replied_to],"@Claudialhf @forta15 😡😡😡
Comenzó #PerdonSocial
Pronto tendremos fuera de las Cárceles los peores #Criminales y #Corruptos de este país con el aval del Gobierno de @petrogustavo
🐀 #IvanMoreno #EmilioTapia #SamuelMoreno
#CarlosMattos 🐀
@alfonsoprada @RoyBarreras @GustavoBolivar @IvanCepedaCast https://t.co/ae84rF2eoh"
30,1262110779156967428,2022-09-16 15:39:14+00:00,1570799477807788033,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570417421164462081 type=replied_to],@PaolaMi299 @petrogustavo Vamos pues
31,130241209,2022-09-16 15:39:01+00:00,1570799425374810112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570594138596470785 type=quoted],El malo es quien dice que @petrogustavo esun guerrillero ... https://t.co/sXnFMtVhmN
33,63816074,2022-09-16 15:38:52+00:00,1570799386141261824,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570587317320187905 type=replied_to],@AurelioSuarez @eduarmestre @petrogustavo @cutcolombia Muy seria intervención!
34,952276292,2022-09-16 15:38:43+00:00,1570799347390107649,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570513780030992384 type=quoted],"Para cuándo @RoyBarreras y @petrogustavo ?
El TLC con esta nación es nocivo e indigno.
#FinDelApartheidSionista https://t.co/Lz0AijK6FQ"
35,787293582638063616,2022-09-16 15:38:39+00:00,1570799333729251329,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570423869030137857 type=replied_to],@MiguelPoloP @petrogustavo @FranciaMarquezM Orgullo. No perdí mi voto
37,103442585,2022-09-16 15:38:27+00:00,1570799282802032640,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570738380501323778 type=replied_to],"@Maryaristizabal @ProsperidadCol @NoticiasRCN Que porquería, que más se podía esperar del hampón de Petro. @petrogustavo"
39,885619555128791040,2022-09-16 15:38:21+00:00,1570799255555837953,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570358896170274829 type=replied_to],"@andersoncasta16 @petrogustavo Hecho amigo,

Cambiemos este país para bien, buscar el bienestar común y un estado social de derecho como lo indica la Constitución.

Nos unimos o nos hundimos.

#petristasiguepetrista #ProgresistaSigueProgresista #RedProgresista #SiguemeYTeSigoDeVuelta #YoApoyoLaReformaDePetro"
40,1482378948243857410,2022-09-16 15:38:15+00:00,1570799231170138116,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570758420248272897 type=replied_to],@petrogustavo Por qué quiere sacar pecho con la labor que hizo @IvanDuque … ? Su responsabilidad es proteger primero a los colombianos antes que los cultivos de coca en las selvas drogadicto…
